,heartrate,steps_window_12
2024-12-16 19:40:00,0.5387368275491154,-0.8316711896611544
2024-12-16 19:50:00,0.5536429479262625,-0.7932635591118754
2024-12-16 20:00:00,0.6078414433206766,-0.7831710430551307
2024-12-16 22:20:00,0.46276480638608297,-0.7325682889372851
2024-12-16 22:30:00,0.44756083557034143,-0.7189714270275038
2024-12-16 22:40:00,0.4690182186506437,-0.7218683529326805
2024-12-16 22:50:00,0.5685052156869171,-0.759341491254483
2024-12-17 00:40:00,0.6255065182588488,-0.7711160933206854
2024-12-17 00:50:00,0.6540416023828151,-0.7779495677341064
2024-12-17 01:00:00,0.6466188331803328,-0.778685480363244
2024-12-17 02:10:00,0.6888153293464667,-0.7865352150740456
2024-12-17 02:20:00,0.7591676073862944,-0.8291480606469681
2024-12-17 03:10:00,0.7839202964266092,-0.8392405767037129
2024-12-17 03:20:00,0.7546934252845833,-0.8392405767037129
2024-12-17 04:10:00,0.700797338648916,-0.8392405767037129
2024-12-17 04:20:00,0.7506161070919375,-0.8639111715090892
2024-12-17 05:00:00,0.6598518026070681,-0.8246624979550815
2024-12-17 05:10:00,0.6019133235112211,-0.7929832114436325
2024-12-17 05:20:00,0.6209638418298676,-0.7929832114436325
2024-12-17 05:30:00,0.4505368468878528,-0.7139251689991313
2024-12-17 05:40:00,0.38365913566360244,-0.6282789563509218
2024-12-17 05:50:00,0.37260627896002224,-0.5937961931570438
2024-12-17 06:00:00,0.29347972669578837,-0.4949175705677687
2024-12-17 06:10:00,0.3491068208022393,-0.4801152136845431
2024-12-17 07:40:00,0.3820835091576162,-0.4868435577223731
2024-12-17 08:00:00,0.2997829854818887,-0.4548839235426809
2024-12-17 08:10:00,0.291467300408318,-0.4405861924622926
2024-12-17 08:30:00,0.21404702506752282,-0.4145138593157016
2024-12-17 08:40:00,0.2516947075979958,-0.41720519693083385
2024-12-17 08:50:00,0.23922264674431856,-0.41787803133461676
2024-12-17 09:00:00,0.17254583262905368,-0.4178780313346165
2024-12-17 09:10:00,0.1352285198466369,-0.4178780313346165
2024-12-17 09:20:00,0.08048842290571379,-0.41114968729678675
2024-12-17 09:30:00,0.04048635353324766,-0.404421343258957
2024-12-17 09:40:00,0.04236729078496091,-0.404421343258957
2024-12-17 10:20:00,0.05683603887507409,-0.404421343258957
2024-12-17 10:30:00,0.05321885185254528,-0.404421343258957
2024-12-17 10:40:00,-0.04705336130586747,-0.26144403245507175
2024-12-17 11:00:00,-0.074591579491904,-0.1966837210909592
2024-12-17 11:20:00,-0.07748532910992786,-0.1966837210909592
2024-12-17 11:50:00,-0.12773839167290463,-0.17397555996328337
2024-12-17 12:40:00,-0.12195089243686098,-0.17397555996328337
2024-12-17 13:00:00,-0.13801120281688586,-0.16934982343727534
2024-12-17 13:10:00,-0.2504500701863905,-0.15008993862898737
2024-12-17 13:20:00,-0.26453391247794916,-0.14033383977413408
2024-12-17 16:50:00,-0.30255611298783014,-0.13024132371738917
2024-12-17 17:40:00,-0.2989389259653013,-0.13024132371738917
2024-12-17 17:50:00,-0.30273697233895636,-0.13024132371738917
2024-12-17 18:10:00,-0.2982154885607964,-0.13024132371738917
2024-12-17 18:20:00,-0.26927799238057204,-0.13024132371738917
2024-12-17 19:10:00,-0.29852553316272734,-0.12519506568901687
2024-12-17 19:20:00,-0.28875912820190247,-0.12519506568901687
2024-12-17 21:00:00,-0.2539135598848816,-0.12519506568901687
2024-12-18 00:50:00,-0.22316747019339497,-0.12519506568901687
2024-12-18 01:00:00,-0.2039619295737799,-0.12519506568901687
2024-12-18 01:10:00,-0.203031795767989,-0.12519506568901687
2024-12-18 02:00:00,-0.1972442965319433,-0.12519506568901687
2024-12-18 02:10:00,-0.18838218832674958,-0.12519506568901687
2024-12-18 02:50:00,-0.1759028930990291,-0.12519506568901687
2024-12-18 03:20:00,-0.17047711256523587,-0.12519506568901687
2024-12-18 03:30:00,-0.15763609863526293,-0.12519506568901687
2024-12-18 03:40:00,-0.07385559228064753,-0.14453905479777782
2024-12-18 04:50:00,0.08924175545291473,-0.22107396822809244
2024-12-18 05:00:00,0.16428982368076678,-0.2639671614692581
2024-12-18 05:20:00,0.15600129798914794,-0.281124438765724
2024-12-18 05:30:00,0.12208069606788773,-0.2918617544594278
2024-12-18 05:40:00,0.09055088252151866,-0.2883574086063913
2024-12-18 06:20:00,0.09135319092125092,-0.2862548010945696
2024-12-18 06:30:00,0.01838467621682059,-0.23663326381557423
2024-12-18 08:30:00,-0.07704752202208072,-0.21560718869735584
2024-12-18 08:40:00,-0.12845906481045513,-0.1958426780862306
2024-12-18 08:50:00,-0.24265558863049955,-0.17145243094909735
2024-12-18 11:10:00,-0.2916391024637762,-0.15575296152749424
2024-12-18 11:30:00,-0.36737434219955967,-0.1268771516984743
2024-12-18 14:20:00,-0.4055495775450077,-0.12183089367010169
2024-12-18 14:30:00,-0.4131456702923178,-0.12183089367010169
2024-12-18 15:20:00,-0.3635481477694692,-0.15715469986870872
2024-12-18 15:40:00,-0.34821127479394925,-0.15715469986870872
2024-12-18 15:50:00,-0.31130915557821526,-0.16871904118372877
2024-12-18 16:00:00,-0.23714254599372506,-0.16724721592545333
2024-12-18 16:10:00,-0.3432751194097251,-0.16409330465772046
2024-12-18 16:20:00,-0.3339040213163599,-0.1678479609288315
2024-12-18 16:30:00,-0.2414104275339595,-0.22303640190579313
2024-12-18 16:40:00,-0.16112198605619912,-0.2555567314219709
2024-12-18 16:50:00,-0.1880660102773396,-0.2465856060381975
2024-12-18 17:00:00,-0.13879188483712734,-0.24546421536522597
2024-12-18 17:10:00,-0.10876923255014562,-0.24546421536522597
2024-12-18 17:30:00,-0.09972626499382566,-0.24546421536522597
2024-12-18 17:40:00,-0.16197065485989526,-0.18785276954130742
2024-12-18 18:10:00,-0.16891729811907022,-0.16977034493963963
2024-12-18 18:20:00,-0.1624063614785196,-0.1626214793994456
2024-12-18 18:30:00,-0.15962112747117313,-0.150146008162636
2024-12-18 18:40:00,-0.17141315716461514,-0.1394927967694052
2024-12-18 19:10:00,-0.20936950632100843,-0.12771819470320286
2024-12-18 19:20:00,-0.22949219597248585,-0.10753316258971334
2024-12-18 20:20:00,-0.25903070168876224,-0.07052727038164888
2024-12-18 20:50:00,-0.24311507878963712,-0.07052727038164888
2024-12-18 21:00:00,-0.22806758077592082,-0.07052727038164888
2024-12-18 21:10:00,-0.21200727039589595,-0.07052727038164888
2024-12-18 21:20:00,-0.2650769441087538,-0.03478294268067757
2024-12-18 21:30:00,-0.2839274404280058,0.01610015910541065
2024-12-18 22:20:00,-0.2641998588974481,0.021146417133782958
2024-12-18 22:30:00,-0.34017574246318766,0.06375926270670564
2024-12-18 22:40:00,-0.37150697806011046,0.0892709005168107
2024-12-18 22:50:00,-0.31572995417272987,0.0817015134742521
2024-12-18 23:10:00,-0.2559455614495721,0.031238933190527864
2024-12-18 23:20:00,-0.1854448639104904,0.02030537412905439
2024-12-18 23:30:00,-0.13673341200711464,0.02030537412905439
2024-12-19 00:40:00,-0.08717794979848105,0.02030537412905439
2024-12-19 00:50:00,-0.013025615836656915,0.01694120211013952
2024-12-19 01:00:00,0.0548741519862261,0.011894944081767216
2024-12-19 01:50:00,0.06825774396957981,0.011894944081767216
2024-12-19 02:00:00,0.11335200885043088,0.011894944081767216
2024-12-19 03:00:00,0.17279444892063814,0.011894944081767216
2024-12-19 03:10:00,0.24782524258793373,0.011894944081766917
2024-12-19 04:20:00,0.294331932877579,0.011894944081767216
2024-12-19 04:30:00,0.3512423420320169,0.010025959626814478
2024-12-19 04:40:00,0.39567345595873843,0.00432555703920861
2024-12-19 05:30:00,0.36727853783189285,0.00432555703920861
2024-12-19 05:40:00,0.4018819471297577,-0.018022157086440893
2024-12-19 05:50:00,0.41811774680734604,-0.04277285122560076
2024-12-19 06:20:00,0.39545004146617074,-0.04277285122560076
2024-12-19 07:10:00,0.3638599414694283,-0.04277285122560076
2024-12-19 07:20:00,0.43285308654740606,-0.08598143559353968
2024-12-19 07:30:00,0.4874540349112794,-0.11510254963227194
2024-12-19 08:00:00,0.40554056911887837,-0.07739578825360025
2024-12-19 08:10:00,0.21813337451923917,0.04553666427091651
2024-12-19 08:30:00,0.10806916019920179,0.1123995831468508
2024-12-19 08:40:00,-0.006937097286693875,0.26841306052403124
2024-12-19 08:50:00,-0.08067861933185931,0.3730628401124215
2024-12-19 09:00:00,0.015938097460386793,0.415034891015074
2024-12-19 09:10:00,0.1436410813227816,0.431575403441406
2024-12-19 09:20:00,0.24926495565723594,0.49681631080822086
2024-12-19 09:30:00,0.2202073787105537,0.6039892194107968
2024-12-19 10:00:00,0.23528995247721243,0.6105073026974446
2024-12-19 10:10:00,0.1514111895965256,0.6536107566897922
2024-12-19 10:30:00,0.11348239996030282,0.6586570147181645
2024-12-19 10:40:00,0.17307623317006204,0.6460413696472336
2024-12-19 10:50:00,0.25339867263074,0.5863273163114933
2024-12-19 11:00:00,0.2454408611811795,0.5863273163114933
2024-12-19 12:10:00,0.22735492606853958,0.5863273163114933
2024-12-19 12:20:00,0.16985369680798532,0.5900519353324348
2024-12-19 12:30:00,-0.12613220696734007,0.654451799694521
2024-12-19 12:40:00,-0.33795089551917884,0.7216150910721439
2024-12-19 12:50:00,-0.6986127001209735,1.0356845788379891
2024-12-19 13:00:00,-0.8886635304381371,1.2346032643564027
2024-12-19 17:30:00,-0.9846385396043259,1.2942051786248456
2024-12-19 17:40:00,-0.9980489255656226,1.3037369993451042
2024-12-19 19:40:00,-0.9821333026665017,1.3037369993451042
2024-12-19 19:50:00,-1.0256751914501807,1.3163526444160358
2024-12-19 20:30:00,-0.9721408235167679,1.3163526444160358
2024-12-19 20:40:00,-0.8903923968076337,1.3163526444160358
2024-12-19 20:50:00,-0.8058707933812306,1.3163526444160358
2024-12-19 21:00:00,-0.7689582610513399,1.3197168164349502
2024-12-19 21:50:00,-0.7563497805728105,1.3213989024444077
2024-12-20 00:00:00,-0.6884270464831178,1.312427777060635
2024-12-20 01:10:00,-0.644136600940609,1.3079422143687482
2024-12-20 01:20:00,-0.5991454642181875,1.2710764959948055
2024-12-20 01:30:00,-0.45194024059516047,1.1002045922007508
2024-12-20 02:30:00,-0.46857930089878846,1.1002045922007508
2024-12-20 02:40:00,-0.41115904062117675,1.08203806329861
2024-12-20 02:50:00,-0.2805499961057328,1.063366908593632
2024-12-20 04:00:00,-0.19562252574572747,1.0438547108839253
2024-12-20 04:10:00,-0.21327254344795996,1.0404905388650105
2024-12-20 05:20:00,-0.19286789870549523,1.0337621948271802
2024-12-20 05:30:00,-0.19576164832351703,1.0337621948271802
2024-12-20 05:50:00,-0.20914524030687076,1.0337621948271802
2024-12-20 06:00:00,-0.22325226969472942,1.0337621948271802
2024-12-20 07:00:00,-0.19718785349239956,1.0287159367988081
2024-12-20 07:10:00,-0.23234691135137087,1.0287159367988081
2024-12-20 07:20:00,-0.2360846712746505,1.0287159367988081
2024-12-20 07:30:00,-0.22612534967262385,1.0287159367988081
2024-12-20 07:40:00,-0.21860160066576467,1.0287159367988081
2024-12-20 09:50:00,-0.24587714605185196,1.0489009689122981
2024-12-20 10:00:00,-0.2484222118758137,1.0589934849690426
2024-12-20 10:10:00,-0.22587507943538712,1.0589934849690426
2024-12-20 10:20:00,-0.23238601607593776,1.0589934849690426
2024-12-20 13:00:00,-0.2795961408925452,1.0842247751109044
2024-12-20 13:10:00,-0.315740186602268,1.0943172911676498
2024-12-20 14:10:00,-0.3559090484874413,1.1271179683520705
2024-12-20 14:20:00,-0.5138859046172843,1.3120072555582705
2024-12-20 14:30:00,-0.7812823149409737,1.5418923435174583
2024-12-20 14:40:00,-0.9152552641919305,1.6723941830845332
2024-12-20 14:50:00,-1.0142910265503118,1.7213148511929217
2024-12-20 15:00:00,-1.105093832118996,1.7952425313085774
2024-12-20 15:10:00,-1.120179947812207,1.847471301902232
2024-12-20 15:20:00,-1.155927174083998,1.8663947695086287
2024-12-20 20:30:00,-1.1367560828646006,1.8663947695086287
2024-12-20 20:40:00,-1.1248327626792314,1.8686375508545716
2024-12-20 23:00:00,-1.1422220543653094,1.8731231135464583
2024-12-20 23:10:00,-1.0753423715598898,1.8383600026843372
2024-12-20 23:20:00,-1.0154608930225026,1.8176142752343616
2024-12-21 00:30:00,-1.052469883672995,1.8132408516097722
2024-12-21 00:40:00,-1.084531940452678,1.8066807161728884
2024-12-21 01:30:00,-1.0936050512341857,1.806680716172889
2024-12-21 02:30:00,-1.134265850554423,1.8060078817691052
2024-12-21 02:40:00,-1.115627691556344,1.796588200116143
2024-12-21 03:50:00,-1.1736835432679167,1.796588200116143
2024-12-21 04:00:00,-1.1991579939180477,1.7647687397705722
2024-12-21 04:10:00,-1.167793283036914,1.720894329690557
2024-12-21 05:00:00,-1.167069845632409,1.7137454641503629
2024-12-21 06:30:00,-1.136094667429494,1.7012699929135533
2024-12-21 08:00:00,-1.147122446841,1.7217353726952862
2024-12-21 08:10:00,-1.1278109827730305,1.701910787583823
2024-12-21 08:20:00,-1.069807600147937,1.6864115664966792
2024-12-21 08:30:00,-1.0877132167423929,1.7625726830360033
2024-12-21 08:40:00,-1.0024698877961622,1.714025811818606
2024-12-21 08:50:00,-0.8581932236503987,1.6429927213775584
2024-12-21 09:00:00,-0.9463661046516259,1.6399139032352483
2024-12-21 09:10:00,-1.0756288666066796,1.6435183732555132
2024-12-21 13:10:00,-1.1405573736610595,1.6435183732555132
2024-12-21 14:30:00,-1.1791407019013578,1.6435183732555132
2024-12-21 14:40:00,-1.2778296211659952,1.6466722845232462
2024-12-21 14:50:00,-1.362893802645779,1.6477235882791574
2024-12-21 15:00:00,-1.4077641464252342,1.6477235882791574
2024-12-21 15:10:00,-1.4836626343604302,1.6526296724734086
2024-12-21 18:30:00,-1.5268063152745281,1.6613905371059994
2024-12-21 18:40:00,-1.6397394787372732,1.6942212515405894
2024-12-21 18:50:00,-1.632977553609449,1.6956630395486953
2024-12-21 21:10:00,-1.6589017565517612,1.736874146780403
2024-12-21 21:20:00,-1.7820016888542844,1.7928035065948642
2024-12-21 21:30:00,-1.8618541928226084,1.8197168827461832
2024-12-21 23:20:00,-1.890114758288617,1.8251836622769204
2024-12-21 23:30:00,-1.796882661169278,1.7799355486225141
